time,total distance cost
1,277.0
2,272.0
3,310.0
4,305.0
5,304
6,304
7,304
8,304
9,304
10,304
11,299.0
12,294.0
13,287.0
14,282.0
15,277.0
16,272.0
17,267.0
18,262.0
19,447.0
20,442.0
21,437.0
22,432
23,427.0
24,422.0
25,417.0
26,424
27,419.0
28,414.0
29,409.0
30,400.0
31,425.0
32,428.0
33,426
34,421.0
35,411.0
36,419
37,419
38,419
39,414.0
40,409.0
41,403.0
42,468.0
43,463.0
44,458.0
45,453.0
46,450
47,445
48,440.0
49,432.0
50,463.0
51,461
52,456.0
53,495.0
54,542.0
55,537.0
56,532.0
57,533.0
58,528.0
59,523.0
60,518.0
61,513.0
62,607.0
63,672.0
64,680.0
65,675.0
66,670.0
67,665.0
68,661
69,661
70,661
71,661
72,661
73,661
74,677
75,711
76,711
77,711
78,711
79,706.0
80,725.0
81,720.0
82,715.0
83,710.0
84,705.0
85,696.0
86,691.0
87,687
88,729.0
89,738.0
90,733.0
91,731
92,779.0
93,777
94,772.0
95,767.0
96,762.0
97,756
98,751.0
99,744.0
100,739.0
101,734.0
102,847
103,842.0
104,836.0
105,835
106,830.0
107,825.0
108,816.0
109,813
110,808.0
111,864
112,877.0
113,874
114,874
115,904
116,904
117,932
118,932
119,927.0
120,922.0
121,921
122,913.0
123,908.0
124,903.0
125,898.0
126,895
127,891
128,886.0
129,893.0
130,888.0
131,887
132,882.0
133,905.0
134,896.0
135,891.0
136,886.0
137,885
138,901
139,901
140,901
141,901
142,901
143,901
144,901
145,901
146,896
147,895.0
148,890.0
149,885.0
150,880.0
151,874
152,866
153,861
154,856.0
155,849
156,844.0
157,857.0
158,852.0
159,845.0
160,864.0
161,876
162,873
163,868.0
164,863.0
165,858.0
166,893.0
167,883.0
168,922
169,953.0
170,948.0
171,943.0
172,941
173,936.0
174,939.0
175,938
176,965.0
177,955.0
178,951
179,946.0
180,937.0
181,932.0
182,927.0
183,922.0
184,918
185,917.0
186,933.0
187,934
188,929.0
189,921.0
190,946.0
191,941.0
192,939
193,929.0
194,924.0
195,923
196,916
197,910.0
198,908
199,910.0
200,905.0
201,901
202,896.0
203,891.0
204,886.0
205,880.0
206,878
207,868.0
208,863.0
209,858.0
210,857
211,852.0
212,843
213,835
214,827.0
215,824
216,816.0
217,814
218,809
219,804.0
220,795.0
221,790
222,780.0
223,775.0
224,770.0
225,769
226,764.0
227,759.0
228,751.0
229,748
230,743.0
231,738.0
232,734
233,729.0
234,724.0
235,718
236,713
237,708.0
238,706
239,701.0
240,696.0
241,693
242,684.0
243,679.0
244,674
245,672
246,667.0
247,658.0
248,653.0
249,651
250,646.0
251,640
252,633.0
253,632
254,629
255,621.0
256,620
257,610.0
258,605
259,599
260,594
261,589.0
262,583
263,574.0
264,570
265,565.0
266,563
267,558.0
268,553.0
269,548
270,543.0
271,538.0
272,529.0
273,524.0
274,523
275,518.0
276,509
277,503.0
278,498.0
279,493.0
280,491
281,488
282,483.0
283,479
284,474.0
285,470
286,465.0
287,459
288,454
289,449.0
290,444.0
291,439.0
292,434.0
293,429.0
294,424.0
295,420
296,420
297,415.0
298,410.0
299,401.0
300,399
301,394.0
302,386.0
303,385
304,380
305,372.0
306,371
307,366
308,361.0
309,357
310,350.0
311,345.0
312,340.0
313,335.0
314,333
315,328.0
316,323.0
317,318.0
318,317
319,312.0
320,307.0
321,302.0
322,295.0
323,290.0
324,289
325,279.0
326,276
327,274
328,270
329,265.0
330,260.0
331,255.0
332,250
333,243.0
334,238.0
335,233.0
336,228.0
337,223.0
338,221
339,216.0
340,210
341,202.0
342,197.0
343,194
344,189.0
345,184.0
346,179.0
347,170
348,164
349,159.0
350,153
351,148.0
352,144
353,135.0
354,130.0
355,125.0
356,124
357,119.0
358,111.0
359,106.0
360,103
361,98.0
362,94
363,89.0
364,84.0
365,76.0
366,72
367,63.0
368,58.0
369,57
370,48
371,43.0
372,38.0
373,33.0
374,28.0
375,18
376,13.0
377,8.0
378,1.0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
