time,orders in system
0,3.0
1,3.0
2,4.0
3,4.0
4,4.0
5,4.0
6,4.0
7,4.0
8,4.0
9,4.0
10,4.0
11,4.0
12,4.0
13,4.0
14,4.0
15,4.0
16,4.0
17,4.0
18,6.0
19,6.0
20,6.0
21,6.0
22,6.0
23,6.0
24,6.0
25,7.0
26,7.0
27,7.0
28,7.0
29,7.0
30,8.0
31,9.0
32,8.0
33,8.0
34,8.0
35,9.0
36,9.0
37,9.0
38,9.0
39,9.0
40,9.0
41,10.0
42,10.0
43,10.0
44,10.0
45,10.0
46,10.0
47,10.0
48,10.0
49,11.0
50,10.0
51,10.0
52,11.0
53,12.0
54,12.0
55,12.0
56,13.0
57,13.0
58,13.0
59,13.0
60,13.0
61,14.0
62,15.0
63,16.0
64,16.0
65,16.0
66,16.0
67,16.0
68,16.0
69,16.0
70,16.0
71,16.0
72,16.0
73,17.0
74,18.0
75,18.0
76,18.0
77,18.0
78,18.0
79,19.0
80,19.0
81,19.0
82,19.0
83,19.0
84,19.0
85,19.0
86,19.0
87,20.0
88,21.0
89,21.0
90,21.0
91,23.0
92,22.0
93,22.0
94,22.0
95,22.0
96,22.0
97,22.0
98,22.0
99,22.0
100,22.0
101,23.0
102,23.0
103,23.0
104,23.0
105,23.0
106,23.0
107,23.0
108,22.0
109,22.0
110,25.0
111,26.0
112,26.0
113,26.0
114,27.0
115,27.0
116,28.0
117,28.0
118,28.0
119,28.0
120,28.0
121,28.0
122,28.0
123,28.0
124,28.0
125,28.0
126,27.0
127,28.0
128,29.0
129,29.0
130,30.0
131,30.0
132,31.0
133,31.0
134,31.0
135,31.0
136,31.0
137,32.0
138,32.0
139,32.0
140,32.0
141,32.0
142,32.0
143,32.0
144,32.0
145,31.0
146,32.0
147,32.0
148,32.0
149,32.0
150,31.0
151,31.0
152,31.0
153,31.0
154,30.0
155,30.0
156,31.0
157,31.0
158,31.0
159,32.0
160,32.0
161,32.0
162,32.0
163,32.0
164,32.0
165,33.0
166,33.0
167,33.0
168,34.0
169,34.0
170,34.0
171,34.0
172,34.0
173,35.0
174,35.0
175,36.0
176,36.0
177,36.0
178,36.0
179,36.0
180,36.0
181,36.0
182,37.0
183,37.0
184,38.0
185,39.0
186,39.0
187,39.0
188,39.0
189,41.0
190,41.0
191,41.0
192,41.0
193,41.0
194,41.0
195,40.0
196,40.0
197,39.0
198,40.0
199,40.0
200,40.0
201,40.0
202,40.0
203,40.0
204,40.0
205,39.0
206,39.0
207,39.0
208,39.0
209,39.0
210,39.0
211,39.0
212,38.0
213,38.0
214,38.0
215,38.0
216,38.0
217,38.0
218,38.0
219,38.0
220,38.0
221,38.0
222,38.0
223,38.0
224,38.0
225,38.0
226,38.0
227,38.0
228,37.0
229,37.0
230,37.0
231,37.0
232,37.0
233,37.0
234,37.0
235,36.0
236,36.0
237,36.0
238,36.0
239,36.0
240,36.0
241,36.0
242,36.0
243,36.0
244,36.0
245,36.0
246,36.0
247,36.0
248,36.0
249,36.0
250,35.0
251,35.0
252,34.0
253,34.0
254,34.0
255,33.0
256,33.0
257,33.0
258,33.0
259,32.0
260,32.0
261,31.0
262,31.0
263,31.0
264,31.0
265,30.0
266,30.0
267,30.0
268,30.0
269,30.0
270,30.0
271,30.0
272,30.0
273,29.0
274,29.0
275,28.0
276,28.0
277,28.0
278,28.0
279,27.0
280,26.0
281,26.0
282,25.0
283,25.0
284,24.0
285,24.0
286,24.0
287,24.0
288,24.0
289,24.0
290,24.0
291,24.0
292,24.0
293,24.0
294,23.0
295,22.0
296,22.0
297,22.0
298,22.0
299,21.0
300,21.0
301,21.0
302,20.0
303,19.0
304,19.0
305,19.0
306,18.0
307,18.0
308,17.0
309,17.0
310,17.0
311,17.0
312,17.0
313,16.0
314,16.0
315,16.0
316,16.0
317,15.0
318,15.0
319,15.0
320,15.0
321,15.0
322,15.0
323,15.0
324,15.0
325,14.0
326,14.0
327,14.0
328,14.0
329,14.0
330,14.0
331,14.0
332,14.0
333,14.0
334,14.0
335,14.0
336,14.0
337,13.0
338,13.0
339,12.0
340,12.0
341,12.0
342,11.0
343,11.0
344,11.0
345,11.0
346,10.0
347,9.0
348,9.0
349,9.0
350,9.0
351,8.0
352,8.0
353,8.0
354,8.0
355,7.0
356,7.0
357,7.0
358,7.0
359,6.0
360,6.0
361,5.0
362,5.0
363,5.0
364,5.0
365,4.0
366,4.0
367,4.0
368,3.0
369,2.0
370,2.0
371,2.0
372,2.0
373,2.0
374,1.0
375,1.0
376,1.0
377,1.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
