time,total distance cost
1,349.0
2,339.0
3,405.0
4,395.0
5,389.0
6,384.0
7,379.0
8,374.0
9,369.0
10,364.0
11,354.0
12,344.0
13,334.0
14,324.0
15,314.0
16,304.0
17,298.0
18,288.0
19,550.0
20,535.0
21,518.0
22,503.0
23,488.0
24,473.0
25,454.0
26,493.0
27,473.0
28,458.0
29,445.0
30,432.0
31,432.0
32,464.0
33,454.0
34,444.0
35,424.0
36,465.0
37,460.0
38,455.0
39,445.0
40,425.0
41,413.0
42,519.0
43,504.0
44,489.0
45,478.0
46,462.0
47,444.0
48,429.0
49,417.0
50,509.0
51,499.0
52,484.0
53,558.0
54,652.0
55,632.0
56,612.0
57,692.0
58,671.0
59,646.0
60,626.0
61,606.0
62,763.0
63,853.0
64,934.0
65,912.0
66,888.0
67,873.0
68,858.0
69,843.0
70,824.0
71,803.0
72,780.0
73,760.0
74,925.0
75,1002.0
76,983.0
77,963.0
78,938.0
79,918.0
80,981.0
81,956.0
82,933.0
83,908.0
84,887.0
85,862.0
86,833.0
87,808.0
88,882.0
89,982.0
90,962.0
91,942.0
92,1117.0
93,1093.0
94,1074.0
95,1051.0
96,1029.0
97,1001.0
98,976.0
99,948.0
100,918.0
101,893.0
102,978.0
103,950.0
104,927.0
105,902.0
106,877.0
107,853.0
108,825.0
109,800.0
110,778.0
111,967.0
112,990.0
113,966.0
114,946.0
115,921.0
116,901.0
117,956.0
118,939.0
119,924.0
120,909.0
121,978.0
122,967.0
123,948.0
124,931.0
125,919.0
126,899.0
127,884.0
128,893.0
129,928.0
130,913.0
131,988.0
132,960.0
133,1025.0
134,1013.0
135,993.0
136,972.0
137,947.0
138,959.0
139,940.0
140,917.0
141,899.0
142,883.0
143,861.0
144,846.0
145,831.0
146,816.0
147,1003.0
148,983.0
149,966.0
150,944.0
151,924.0
152,903.0
153,883.0
154,859.0
155,838.0
156,818.0
157,940.0
158,916.0
159,896.0
160,878.0
161,922.0
162,902.0
163,878.0
164,858.0
165,838.0
166,951.0
167,937.0
168,1017.0
169,1017.0
170,999.0
171,979.0
172,959.0
173,939.0
174,1055.0
175,1028.0
176,1127.0
177,1097.0
178,1067.0
179,1042.0
180,1021.0
181,998.0
182,973.0
183,988.0
184,963.0
185,1027.0
186,1026.0
187,1110.0
188,1084.0
189,1059.0
190,1210.0
191,1183.0
192,1164.0
193,1150.0
194,1135.0
195,1118.0
196,1103.0
197,1088.0
198,1068.0
199,1077.0
200,1052.0
201,1029.0
202,1009.0
203,984.0
204,962.0
205,935.0
206,904.0
207,879.0
208,850.0
209,830.0
210,803.0
211,778.0
212,755.0
213,726.0
214,703.0
215,673.0
216,646.0
217,621.0
218,600.0
219,574.0
220,549.0
221,524.0
222,496.0
223,475.0
224,455.0
225,436.0
226,416.0
227,393.0
228,374.0
229,351.0
230,333.0
231,315.0
232,294.0
233,268.0
234,248.0
235,228.0
236,210.0
237,195.0
238,180.0
239,165.0
240,150.0
241,137.0
242,127.0
243,114.0
244,104.0
245,94.0
246,84.0
247,74.0
248,66.0
249,54.0
250,49.0
251,44.0
252,39.0
253,34.0
254,29.0
255,24.0
256,19.0
257,14.0
258,9.0
259,4.0
260,0
261,0
262,0
263,0
264,0
265,0
266,0
267,0
268,0
269,0
270,0
271,0
272,0
273,0
274,0
275,0
276,0
277,0
278,0
279,0
280,0
281,0
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,0
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,0
303,0
304,0
305,0
306,0
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,0
316,0
317,0
318,0
319,0
320,0
321,0
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,0
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,0
357,0
358,0
359,0
360,0
361,0
362,0
363,0
364,0
365,0
366,0
367,0
368,0
369,0
370,0
371,0
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,0
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,0
398,0
399,0
400,0
