time,orders in system
0,3.0
1,3.0
2,4.0
3,4.0
4,4.0
5,4.0
6,4.0
7,4.0
8,4.0
9,4.0
10,4.0
11,4.0
12,4.0
13,4.0
14,4.0
15,4.0
16,4.0
17,4.0
18,6.0
19,6.0
20,6.0
21,6.0
22,6.0
23,6.0
24,6.0
25,7.0
26,7.0
27,7.0
28,7.0
29,6.0
30,7.0
31,8.0
32,8.0
33,8.0
34,8.0
35,9.0
36,9.0
37,9.0
38,9.0
39,9.0
40,8.0
41,9.0
42,9.0
43,9.0
44,9.0
45,9.0
46,9.0
47,9.0
48,8.0
49,9.0
50,9.0
51,9.0
52,10.0
53,11.0
54,11.0
55,11.0
56,12.0
57,11.0
58,11.0
59,11.0
60,11.0
61,12.0
62,13.0
63,14.0
64,13.0
65,12.0
66,12.0
67,12.0
68,12.0
69,12.0
70,12.0
71,11.0
72,11.0
73,12.0
74,13.0
75,12.0
76,12.0
77,12.0
78,12.0
79,13.0
80,13.0
81,12.0
82,12.0
83,12.0
84,12.0
85,11.0
86,11.0
87,12.0
88,13.0
89,13.0
90,13.0
91,14.0
92,14.0
93,14.0
94,14.0
95,13.0
96,13.0
97,12.0
98,11.0
99,11.0
100,11.0
101,12.0
102,12.0
103,12.0
104,12.0
105,12.0
106,12.0
107,12.0
108,12.0
109,11.0
110,13.0
111,14.0
112,13.0
113,13.0
114,14.0
115,14.0
116,15.0
117,15.0
118,15.0
119,15.0
120,16.0
121,15.0
122,15.0
123,15.0
124,14.0
125,14.0
126,14.0
127,14.0
128,15.0
129,15.0
130,16.0
131,16.0
132,17.0
133,17.0
134,17.0
135,17.0
136,17.0
137,18.0
138,16.0
139,16.0
140,16.0
141,16.0
142,16.0
143,16.0
144,16.0
145,16.0
146,17.0
147,17.0
148,16.0
149,16.0
150,16.0
151,14.0
152,14.0
153,14.0
154,14.0
155,14.0
156,14.0
157,13.0
158,13.0
159,14.0
160,15.0
161,15.0
162,15.0
163,15.0
164,15.0
165,16.0
166,16.0
167,17.0
168,18.0
169,16.0
170,16.0
171,16.0
172,16.0
173,17.0
174,17.0
175,18.0
176,18.0
177,18.0
178,18.0
179,18.0
180,18.0
181,18.0
182,18.0
183,18.0
184,19.0
185,20.0
186,21.0
187,21.0
188,21.0
189,22.0
190,22.0
191,22.0
192,22.0
193,22.0
194,22.0
195,22.0
196,22.0
197,22.0
198,23.0
199,23.0
200,21.0
201,20.0
202,20.0
203,20.0
204,20.0
205,20.0
206,20.0
207,20.0
208,20.0
209,18.0
210,18.0
211,17.0
212,17.0
213,16.0
214,15.0
215,15.0
216,15.0
217,15.0
218,13.0
219,13.0
220,13.0
221,13.0
222,12.0
223,12.0
224,11.0
225,11.0
226,11.0
227,11.0
228,10.0
229,9.0
230,9.0
231,8.0
232,8.0
233,8.0
234,8.0
235,6.0
236,6.0
237,6.0
238,6.0
239,6.0
240,5.0
241,4.0
242,3.0
243,3.0
244,3.0
245,3.0
246,3.0
247,2.0
248,1.0
249,1.0
250,1.0
251,1.0
252,1.0
253,1.0
254,1.0
255,1.0
256,1.0
257,1.0
258,1.0
259,0.0
260,0.0
261,0.0
262,0.0
263,0.0
264,0.0
265,0.0
266,0.0
267,0.0
268,0.0
269,0.0
270,0.0
271,0.0
272,0.0
273,0.0
274,0.0
275,0.0
276,0.0
277,0.0
278,0.0
279,0.0
280,0.0
281,0.0
282,0.0
283,0.0
284,0.0
285,0.0
286,0.0
287,0.0
288,0.0
289,0.0
290,0.0
291,0.0
292,0.0
293,0.0
294,0.0
295,0.0
296,0.0
297,0.0
298,0.0
299,0.0
300,0.0
301,0.0
302,0.0
303,0.0
304,0.0
305,0.0
306,0.0
307,0.0
308,0.0
309,0.0
310,0.0
311,0.0
312,0.0
313,0.0
314,0.0
315,0.0
316,0.0
317,0.0
318,0.0
319,0.0
320,0.0
321,0.0
322,0.0
323,0.0
324,0.0
325,0.0
326,0.0
327,0.0
328,0.0
329,0.0
330,0.0
331,0.0
332,0.0
333,0.0
334,0.0
335,0.0
336,0.0
337,0.0
338,0.0
339,0.0
340,0.0
341,0.0
342,0.0
343,0.0
344,0.0
345,0.0
346,0.0
347,0.0
348,0.0
349,0.0
350,0.0
351,0.0
352,0.0
353,0.0
354,0.0
355,0.0
356,0.0
357,0.0
358,0.0
359,0.0
360,0.0
361,0.0
362,0.0
363,0.0
364,0.0
365,0.0
366,0.0
367,0.0
368,0.0
369,0.0
370,0.0
371,0.0
372,0.0
373,0.0
374,0.0
375,0.0
376,0.0
377,0.0
378,0.0
379,0.0
380,0.0
381,0.0
382,0.0
383,0.0
384,0.0
385,0.0
386,0.0
387,0.0
388,0.0
389,0.0
390,0.0
391,0.0
392,0.0
393,0.0
394,0.0
395,0.0
396,0.0
397,0.0
398,0.0
399,0.0
400,0.0
