time,orders in system
0,3.0
1,3.0
2,4.0
3,4.0
4,4.0
5,4.0
6,4.0
7,4.0
8,4.0
9,4.0
10,4.0
11,4.0
12,4.0
13,4.0
14,4.0
15,4.0
16,4.0
17,4.0
18,6.0
19,6.0
20,6.0
21,6.0
22,6.0
23,6.0
24,6.0
25,7.0
26,7.0
27,7.0
28,6.0
29,6.0
30,7.0
31,8.0
32,8.0
33,8.0
34,8.0
35,9.0
36,9.0
37,9.0
38,8.0
39,8.0
40,7.0
41,8.0
42,8.0
43,8.0
44,8.0
45,8.0
46,8.0
47,8.0
48,8.0
49,9.0
50,9.0
51,9.0
52,10.0
53,11.0
54,10.0
55,10.0
56,11.0
57,11.0
58,11.0
59,11.0
60,11.0
61,12.0
62,13.0
63,14.0
64,14.0
65,13.0
66,13.0
67,13.0
68,13.0
69,13.0
70,12.0
71,12.0
72,12.0
73,13.0
74,14.0
75,14.0
76,14.0
77,14.0
78,14.0
79,15.0
80,15.0
81,15.0
82,15.0
83,15.0
84,15.0
85,15.0
86,15.0
87,15.0
88,16.0
89,16.0
90,16.0
91,18.0
92,18.0
93,18.0
94,18.0
95,17.0
96,17.0
97,17.0
98,17.0
99,17.0
100,17.0
101,18.0
102,18.0
103,18.0
104,18.0
105,17.0
106,16.0
107,16.0
108,16.0
109,16.0
110,19.0
111,20.0
112,20.0
113,19.0
114,20.0
115,20.0
116,21.0
117,21.0
118,21.0
119,21.0
120,22.0
121,22.0
122,22.0
123,21.0
124,21.0
125,21.0
126,21.0
127,22.0
128,23.0
129,23.0
130,24.0
131,24.0
132,25.0
133,25.0
134,25.0
135,25.0
136,25.0
137,26.0
138,26.0
139,26.0
140,26.0
141,26.0
142,26.0
143,26.0
144,26.0
145,26.0
146,27.0
147,27.0
148,27.0
149,27.0
150,26.0
151,26.0
152,26.0
153,26.0
154,26.0
155,26.0
156,26.0
157,26.0
158,26.0
159,26.0
160,26.0
161,26.0
162,26.0
163,26.0
164,25.0
165,25.0
166,25.0
167,26.0
168,27.0
169,27.0
170,27.0
171,27.0
172,27.0
173,28.0
174,28.0
175,29.0
176,29.0
177,29.0
178,28.0
179,28.0
180,28.0
181,28.0
182,29.0
183,29.0
184,28.0
185,29.0
186,30.0
187,30.0
188,30.0
189,31.0
190,31.0
191,31.0
192,31.0
193,31.0
194,31.0
195,31.0
196,31.0
197,31.0
198,32.0
199,32.0
200,32.0
201,32.0
202,31.0
203,31.0
204,31.0
205,31.0
206,31.0
207,31.0
208,31.0
209,30.0
210,30.0
211,30.0
212,30.0
213,29.0
214,29.0
215,29.0
216,29.0
217,29.0
218,29.0
219,29.0
220,29.0
221,28.0
222,26.0
223,26.0
224,26.0
225,26.0
226,26.0
227,26.0
228,26.0
229,26.0
230,25.0
231,25.0
232,25.0
233,25.0
234,25.0
235,24.0
236,24.0
237,24.0
238,24.0
239,24.0
240,22.0
241,22.0
242,22.0
243,22.0
244,22.0
245,21.0
246,21.0
247,21.0
248,21.0
249,21.0
250,21.0
251,21.0
252,21.0
253,20.0
254,20.0
255,20.0
256,20.0
257,20.0
258,19.0
259,19.0
260,19.0
261,17.0
262,17.0
263,17.0
264,17.0
265,17.0
266,17.0
267,17.0
268,17.0
269,17.0
270,17.0
271,17.0
272,17.0
273,17.0
274,17.0
275,17.0
276,16.0
277,16.0
278,16.0
279,16.0
280,16.0
281,16.0
282,16.0
283,16.0
284,16.0
285,16.0
286,15.0
287,15.0
288,15.0
289,15.0
290,15.0
291,15.0
292,15.0
293,15.0
294,14.0
295,14.0
296,14.0
297,14.0
298,14.0
299,14.0
300,14.0
301,13.0
302,13.0
303,13.0
304,12.0
305,12.0
306,11.0
307,11.0
308,11.0
309,11.0
310,11.0
311,11.0
312,11.0
313,10.0
314,10.0
315,10.0
316,10.0
317,10.0
318,9.0
319,9.0
320,9.0
321,9.0
322,9.0
323,9.0
324,9.0
325,9.0
326,9.0
327,9.0
328,9.0
329,9.0
330,9.0
331,8.0
332,8.0
333,8.0
334,8.0
335,8.0
336,8.0
337,8.0
338,8.0
339,8.0
340,8.0
341,8.0
342,8.0
343,8.0
344,8.0
345,8.0
346,8.0
347,8.0
348,7.0
349,7.0
350,7.0
351,7.0
352,7.0
353,7.0
354,7.0
355,7.0
356,7.0
357,7.0
358,7.0
359,7.0
360,7.0
361,7.0
362,7.0
363,7.0
364,7.0
365,7.0
366,7.0
367,7.0
368,7.0
369,7.0
370,7.0
371,7.0
372,7.0
373,7.0
374,7.0
375,7.0
376,6.0
377,6.0
378,6.0
379,6.0
380,6.0
381,6.0
382,5.0
383,5.0
384,5.0
385,5.0
386,5.0
387,5.0
388,4.0
389,4.0
390,4.0
391,4.0
392,4.0
393,4.0
394,3.0
395,3.0
396,3.0
397,3.0
398,3.0
399,3.0
400,3.0
